Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
58860,BEC CONTINUUM HDFC.YR15.FY2017,340,ST JOHNS PLACE,Brooklyn,35,40.67389689,-73.96642626,No,Non Prevailing Wage,10,10,29,29
58860,BEC CONTINUUM HDFC.YR15.FY2017,738,ST JOHNS PLACE,Brooklyn,35,40.67157051,-73.95398687,No,Non Prevailing Wage,2,2,8,8
58860,BEC CONTINUUM HDFC.YR15.FY2017,264,ST MARKS AVENUE,Brooklyn,35,40.67800058,-73.96731469,No,Non Prevailing Wage,0,12,12,12
58860,BEC CONTINUUM HDFC.YR15.FY2017,718,ST MARKS AVENUE,Brooklyn,36,40.6748596,-73.94948544,No,Non Prevailing Wage,2,14,18,18
58860,BEC CONTINUUM HDFC.YR15.FY2017,171,TOMPKINS AVENUE,Brooklyn,36,40.69340154,-73.94564533,No,Non Prevailing Wage,1,5,6,6
58860,BEC CONTINUUM HDFC.YR15.FY2017,165,VAN BUREN STREET,Brooklyn,36,40.69073597,-73.93936954,No,Non Prevailing Wage,2,8,13,13
58860,BEC CONTINUUM HDFC.YR15.FY2017,171,VAN BUREN STREET,Brooklyn,36,40.69075784,-73.93918922,No,Non Prevailing Wage,3,4,16,16
58860,BEC CONTINUUM HDFC.YR15.FY2017,258,VERNON AVENUE,Brooklyn,36,40.69530149,-73.94122618,No,Non Prevailing Wage,0,3,3,3
58860,BEC CONTINUUM HDFC.YR15.FY2017,264,VERNON AVENUE,Brooklyn,36,40.69533429,-73.9409593,No,Non Prevailing Wage,0,3,3,3
58860,BEC CONTINUUM HDFC.YR15.FY2017,643,WILLOUGHBY AVENUE,Brooklyn,36,40.69476477,-73.94374376,No,Non Prevailing Wage,2,1,4,4
58860,BEC CONTINUUM HDFC.YR15.FY2017,685,WILLOUGHBY AVENUE,Brooklyn,36,40.69495046,-73.9418143,No,Non Prevailing Wage,1,0,3,3
58860,BEC CONTINUUM HDFC.YR15.FY2017,736,WILLOUGHBY AVENUE,Brooklyn,36,40.69477078,-73.93935505,No,Non Prevailing Wage,0,11,35,35
58860,BEC CONTINUUM HDFC.YR15.FY2017,285,LINCOLN PLACE,Brooklyn,35,40.67389689,-73.96642626,No,Non Prevailing Wage,1,14,29,29
63221,"THEHUTCHINSONPARKWAYAPARTMENTS,INC.HRP.FY17",1950,HUTCH RIVER PARKWAY EAST,Bronx,13,40.85120963,-73.83517907,No,Non Prevailing Wage,75,81,159,159
63760,DANCE THEATRE OF HARLEM,847,ST NICHOLAS AVENUE,Manhattan,7,40.82904245,-73.94245948,No,Non Prevailing Wage,0,9,39,39
65051,CONFIDENTIAL,----,----,Bronx,18,,,No,Non Prevailing Wage,0,0,2,2
65078,CONFIDENTIAL,----,----,Queens,19,,,No,Non Prevailing Wage,0,0,1,1
65084,CONFIDENTIAL,----,----,Brooklyn,46,,,No,Non Prevailing Wage,0,0,1,1
65087,CONFIDENTIAL,----,----,Staten Island,51,,,No,Non Prevailing Wage,0,1,1,1
65122,CONFIDENTIAL,----,----,Queens,28,,,No,Non Prevailing Wage,0,0,1,1
65142,CONFIDENTIAL,----,----,Queens,22,,,No,Non Prevailing Wage,0,1,1,1
65156,CONFIDENTIAL,----,----,Queens,27,,,No,Non Prevailing Wage,0,0,1,1
65158,CONFIDENTIAL,----,----,Brooklyn,36,,,No,Non Prevailing Wage,0,0,3,3
65159,CONFIDENTIAL,----,----,Brooklyn,36,,,No,Non Prevailing Wage,0,0,2,2
65160,CONFIDENTIAL,----,----,Brooklyn,45,,,No,Non Prevailing Wage,0,0,1,1
65162,CONFIDENTIAL,----,----,Brooklyn,37,,,No,Non Prevailing Wage,0,1,1,1
65163,CONFIDENTIAL,----,----,Bronx,18,,,No,Non Prevailing Wage,0,0,3,3
65164,CONFIDENTIAL,----,----,Queens,27,,,No,Non Prevailing Wage,2,0,2,2
65165,CONFIDENTIAL,----,----,Bronx,12,,,No,Non Prevailing Wage,0,0,3,3
65167,CONFIDENTIAL,----,----,Bronx,18,,,No,Non Prevailing Wage,0,0,2,2
65168,CONFIDENTIAL,----,----,Brooklyn,37,,,No,Non Prevailing Wage,0,0,3,3
65169,CONFIDENTIAL,----,----,Bronx,13,,,No,Non Prevailing Wage,0,1,1,1
65170,CONFIDENTIAL,----,----,Queens,22,,,No,Non Prevailing Wage,0,0,1,1
65172,CONFIDENTIAL,----,----,Brooklyn,37,,,No,Non Prevailing Wage,0,2,2,2
65189,"47TH AVE - ""BIG SIX""",59-55,47 AVENUE,Queens,26,40.74081052,-73.90547471,No,Non Prevailing Wage,0,196,489,489
65189,"47TH AVE - ""BIG SIX""",47-30,61 STREET,Queens,26,40.73916524,-73.90404805,No,Non Prevailing Wage,0,197,489,489
